"id","tags"
"1","ribosome binding-sites translation synthetic-biology"
"2","rna biochemistry"
"3","immunology cell-biology hematology"
"4","cell-culture"
"5","splicing mrna spliceosome introns exons"
"6","dna biochemistry molecular-biology"
"8","neuroscience synapses"
"9","plasmids"
"10","molecular-genetics gene-expression experimental-design"
"11","evolution mitochondria chloroplasts"
"13","high-throughput cell-based"
"16","molecular-biology synthetic-biology"
"23","bioinformatics homework"
"27","neuroscience immunology"
"28","splicing histone"
"29","genomics gene-annotation exons"
"32","microbiology virology influenza"
"33","epigenetics"
"38","molecular-biology dna-isolation"
"46","cell-membrane adaptation cell-biology"
"50","transcription chromatin"
"52","biochemistry neuroscience"
"58","molecular-biology transcription rna-interference"
"64","neuroscience endocrinology human-biology"
"69","bioinformatics phylogenetics"
"72","splicing introns genetics"
"73","biochemistry rna"
"75","microbiology astrobiology"
"77","dna primer genetics"
"82","microbiology history bacteriology"
"90","dna"
"91","human-biology neuroscience"
"92","mycology"
"93","molecular-biology enzymes"
"94","neuroscience human-anatomy"
"99","histology staining"
"100","zoology"
"101","dna staining"
"107","human-biology genetics enzymes"
"108","dna zoology radiation entomology"
"109","human-biology immunology enzymes hematology"
"111","evolution zoology"
"115","evolution abiogenesis"
"117","dna biochemistry"
"120","molecular-biology green-fluorescent-protein"
"121","molecular-biology cloning dna-isolation"
"122","molecular-biology"
"126","anatomy histology"
"147","human-biology neuroscience hearing"
"150","biochemistry organic-chemistry"
"156","biochemistry histone rna-interference histone-modifications"
"157","cell-culture"
"158","human-biology immunology"
"160","zoology ethology"
"163","ecology extremophiles astrobiology"
"165","bioinformatics"
"166","t7-promoter"
"169","molecular-biology yeast dna-isolation"
"171","biochemistry dna rna"
"173","cell-biology virology"
"175","cell-culture"
"176","physiology metabolism cell-culture"
"177","microbiology epidemiology"
"178","microbiology bacteriology"
"182","human-biology physiology hematology"
"183","staining antibody"
"186","human-biology dna telomere"
"188","neuroscience physiology neuroanatomy"
"189","human-biology pharmacology"
"190","evolution bioluminescence"
"192","zoology evolution palaeontology"
"193","microbiology transcription learning receptor"
"195","human-biology"
"200","homework mitochondria"
"201","human-biology pathology joints"
"202","epigenetics"
"222","plant-physiology botany"
"228","molecular-biology genetics"
"230","immunology epidemiology vaccination"
"239","evolution theoretical-biology sexual-selection palaeontology extinction"
"240","genetics human-genome"
"242","homeostasis"
"249","botany"
"251","human-biology renal-physiology organs"
"257","molecular-biology cell-biology"
"264","epigenetics"
"268","human-biology physiology cardiology electrocardiography"
"279","cell-culture"
"280","dna-sequencing"
"285","physiology cardiology"
"286","biochemistry enzymes"
"287","biochemistry dna rna structural-biology"
"291","gene-expression"
"295","homework staining histology"
"299","genetics"
"303","homework staining cell-biology"
"304","evolution"
"305","genetics ecology population-dynamics conservation-biology"
"306","proteins structural-biology 3d-structure"
"315","molecular-biology enzymes proteins"
"319","human-biology sleep"
"320","genetics botany dna-sequencing genomics"
"324","evolution sleep"
"328","dna genetics introns"
"329","evolution anatomy human-anatomy theoretical-biology"
"337","human-anatomy"
"339","evolution sexual-selection natural-selection"
"340","cancer statistics"
"344","human-biology senescence"
"345","human-biology pharmacology human-anatomy aspirin"
"363","physiology endocrinology"
"364","staining high-throughput fluorescent-microscopy"
"371","human-biology neuroscience temperature"
"373","parasitism"
"375","microbiology staining bacteriology"
"378","evolution life-history"
"381","human-biology physiology organs"
"385","microscopy"
"388","biochemistry enzymes proteins"
"391","dna epigenetics transcription"
"393","zoology taxonomy"
"399","evolution dna abiogenesis"
"401","human-biology vitamins"
"406","biochemistry synthetic-biology abiogenesis"
"410","cell-biology electrophysiology biophysics"
"412","biochemistry botany pigmentation"
