"id","tags"
"1","baking cookies texture"
"2","oven cooking-time bacon"
"3","eggs"
"4","substitutions please-remove-this-tag baking-soda baking-powder"
"5","sauce pasta tomatoes italian-cuisine"
"6","substitutions herbs parsley"
"9","food-safety beef cooking-time"
"11","eggs basics poaching"
"12","ice-cream"
"17","baking chicken cooking-time"
"23","grilling salmon cedar-plank"
"27","baking flour measurements sifting"
"28","storage-method storage-lifetime fats"
"30","canning pressure-canner food-preservation"
"32","spices resources basics learning"
"36","food-safety storage-method storage-lifetime butter"
"38","baking bread dough"
"54","rice italian-cuisine risotto"
"57","eggs food-science vinegar poaching"
"61","storage-method bread"
"62","knife-skills resources learning cutting"
"66","nutrient-composition calories"
"68","storage-method spices organization pantry"
"70","storage-method storage-lifetime spices"
"76","conversion measurements"
"81","chicken meat chicken-breast tenderizing"
"84","baking pancakes conversion waffle"
"85","equipment wok seasoning-pans"
"87","grilling"
"89","storage-method ripe avocados"
"97","grilling sauce barbecue condiments"
"98","organization software"
"101","baking bread starter"
"105","substitutions baking pie cornstarch"
"106","food-safety eggs storage-lifetime"
"109","storage-method food-science ripe"
"119","substitutions milk allergy sour-cream dairy-free"
"123","equipment knives"
"125","frying sauteing"
"134","please-remove-this-tag salt classification"
"138","meat salt steak"
"139","storage-method herbs cilantro parsley"
"141","substitutions vinegar pantry"
"143","meat hamburgers ground-beef"
"149","storage-method freezing bulk-cooking"
"150","storage-method spices drying oregano"
"153","chicken knife-skills"
"154","fruit ripe citrus"
"164","herbs please-remove-this-tag comparisons"
"175","substitutions milk"
"183","equipment knives cutting chopping cutting-boards"
"184","equipment knives"
"187","baking equipment roast"
"190","rice"
"191","spaghetti american-cuisine pasta"
"197","spices"
"203","mushrooms"
"216","frying equipment stove"
"221","spices pepper"
"222","sauce alfredo budget-cooking"
"223","substitutions vegetarian vegan kosher"
"227","baking pizza"
"228","mango"
"240","substitutions please-remove-this-tag fats"
"245","baking eggs pie meringue"
"254","food-safety fish sushi crudo"
"255","salt flavor"
"261","equipment cleaning cast-iron maintenance"
"263","baking dough pie"
"266","substitutions sugar"
"267","meat steak basics"
"270","chicken frying chicken-breast"
"274","knife-skills garlic"
"291","equipment"
"292","meat raw-meat carpaccio"
"294","substitutions vanilla"
"298","knife-skills coconut"
"301","substitutions cheese vegan"
"306","grilling meat hamburgers"
"315","equipment knives maintenance"
"316","baking equipment shopping oven"
"324","fire flambe"
"326","equipment baking cheesecake"
"328","beef steak ingredient-selection"
"336","cheese knife-skills onions soup"
"337","substitutions beef fats"
"339","substitutions salt sodium"
"344","chicken food-safety"
"352","equipment blender smoothie"
"356","baking flour comparisons shopping pantry"
"362","please-remove-this-tag eggplant middle-eastern-cuisine"
"367","food-science knife-skills flavor garlic"
"368","substitutions flavor mayonnaise"
"372","salt soup"
"373","baking eggs pastry egg-whites mixing"
"386","storage-method freezing stock"
"393","substitutions resources"
"396","resources cookbook"
"399","baking potatoes"
"400","flour dough pizza"
"403","pasta"
"405","substitutions cheese cheese-making"
"407","baking resources gluten-free allergy"
"417","cheese cheese-making"
"419","storage-method potatoes"
"431","fish"
"434","food-science beans soaking"
"440","vegetarian vegan"
"444","drying lettuce"
"469","storage-method basil"
"474","storage-method food-safety potatoes"
"476","pie pumpkin"
"488","equipment slow-cooking"
"515","eggs food-science hard-boiled-eggs"
"517","fish shopping"
"519","chinese-cuisine restaurant-mimicry ribs"
"529","cookware cast-iron copper-cookware"
"530","baking substitutions baking-powder"
"531","equipment cookware sauteing stainless-steel teflon"
"539","substitutions pasta"
"556","flavor salt spices"
"564","baking sugar"
"567","onions knife-skills"
"569","chocolate ganache"
"572","knives coconut bones chopping"
"575","potatoes deep-frying french-fries chips"
"577","cookies chocolate"
"580","substitutions salt garlic"
"584","baking oven temperature"
"586","garlic sauteing"
"588","bell-peppers"
"592","vegetables steaming"
"605","sugar carrots juice"
"609","dessert gelatin"
"614","cooking-time"
"618","food-safety meat utensils cutting-boards"
"620","storage-method eggs"
"623","meat"
"624","food-safety food-preservation utensils"
"625","storage-method rice pie blind-baking"
"626","substitutions equipment custard"
"640","eggs resources"
"641","cast-iron seasoning-pans"
"650","baking pie blind-baking"
"653","substitutions eggs cookies"
"655","oil tasting"
"657","flavor freezing texture"
"659","alcohol food-science"
"668","substitutions"
"669","eggplant vegetables"
"670","substitutions oil"
"679","additives"
"681","knives sharpening"
"683","wok equipment"
"692","knife-skills peeling peaches"
"701","frying oil fats"
"704","nuts chestnuts puree"
"707","cast-iron"
"710","eggs frying"
"711","storage-method food-safety storage-lifetime beef"
"714","eggs hard-boiled-eggs"
"715","cake pop-rocks"
"721","rice"
"723","fish sushi"
"725","substitutions gelling-agents gelatin"
"728","sauce hollandaise"
"733","substitutions thickening"
"742","frying deep-frying scottish-cuisine"
"748","eggs meringue"
"754","italian-cuisine tomatoes"
"758","temperature defrosting ice-cream"
"772","rice sushi"
"776","baking roasting"
"781","rice italian-cuisine risotto"
"784","language cultural-difference"
"786","baking glucose-syrup"
"788","salt"
"793","garlic slow-cooking"
"798","substitutions lasagna"
"804","peeling tomatoes boiling"
"811","food-safety food-science garlic"
"816","fruit food-preservation canning jam"
"817","flavor molecular-gastronomy gelling-agents experimental"
"821","eggs freezing food-preservation"
"826","frying beef meatballs"
"829","substitutions asian-cuisine"
"834","knives equipment"
"835","substitutions yeast"
"840","equipment knives"
"845","smell refrigerator freezing"
"846","bacon"
"848","freezing beer beverages"
"853","equipment cheese grating"
"858","food-safety chicken grilling beer"
"860","shopping pineapple"
"865","eggs peeling"
"872","baking flour cookies"
"873","cheese grating"
"876","meat steak cut-of-meat"
"880","baking cookies"
"886","frying mushrooms"
"895","garlic shortcuts"
"909","eggs boiling"
"914","ripe fruit watermelon"
"916","equipment oven stove kitchen"
"918","storage-method vegetables fruit fresh"
"921","storage-method storage-lifetime"
"926","pork"
"929","baking bread dough"
"931","baking bread yeast"
"933","frying chicken-breast"
"936","bread"
"940","lamb butchering"
"954","fish deep-frying batter beer"
"960","drinks cocktails"
"963","baking bread beer"
"964","drinks coffee roasting"
"971","cocktails gelatin"
"978","drinks cocktails mint"
"979","drinks lemonade"
"982","chicken meat roast"
"986","baking equipment pie"
"991","seeds"
"996","salt soy"
"997","eggs scrambled-eggs"
"1007","flavor soup mexican-cuisine citrus lime"
"1011","cheese pasteurization"
"1015","equipment cookware"
"1027","grilling fish salmon"
"1028","cheese milk boiling"
"1032","smell"
"1042","condiments mustard"
"1045","substitutions lemon-juice"
"1047","cheese-making"
"1053","knives sharpening"
"1056","vegetables steaming"
"1063","chocolate melting-chocolate"
"1068","asian-cuisine deep-frying"
"1083","frying scallops shellfish"
"1089","culinary-uses roux"
"1093","temperature equipment heat"
"1100","cleaning"
"1104","baking cookies"
"1106","fish grilling salmon"
"1109","fish salmon skin"
"1111","slow-cooking conversion"
"1112","pork skin"
"1119","frying oil steak"
"1120","flavor spices spicy-hot"
"1122","storage-method honey"
"1124","bread sourdough starter"
"1127","food-safety storage-lifetime milk buttermilk"
"1130","barbecue salmon"
"1136","baking dessert"
"1137","knife-skills basics"
"1139","potatoes oven microwave"
"1143","barbecue ribs"
"1159","food-preservation charcuterie corned-beef"
"1160","jalapeno jelly"
"1161","american-cuisine cajun-cuisine"
"1162","eggs boiling"
"1168","food-safety shellfish mussels"
"1181","baking brownies"
"1182","meat steak aging"
"1188","storage-method coffee"
"1192","freezing fruit"
"1204","equipment wok"
"1207","meat frying breakfast"
"1214","ice-cream"
"1230","food-safety cheese"
"1236","drinks pairing"
"1237","drinks sugar lemonade syrup"
"1250","chicken frying"
"1257","ripe avocados ingredient-selection"
"1260","food-safety potatoes"
"1282","cleaning kettle"
"1283","pork-chops"
"1287","vegetables cleaning"
"1291","substitutions tahini hummus"
"1297","food-safety chicken"
"1324","substitutions cheese"
"1331","food-safety potatoes vegetables"
"1332","substitutions alcohol wine"
"1346","barbecue"
"1350","substitutions baking sugar"
"1351","food-safety chicken raw-meat"
"1355","food-safety equipment cookware pan non-stick"
"1363","food-safety meat food-preservation freezing"
"1365","mushrooms"
"1366","substitutions fish asian-cuisine"
"1380","organization"
"1381","skin"
"1384","food-safety food-preservation chips"
"1398","food-safety reheating mushrooms"
"1410","fish"
"1411","storage-method rice sushi"
"1414","storage-method apples"
"1419","grilling turkey seasoning hamburgers"
"1420","beef steak"
"1422","storage-lifetime wine"
"1435","food-safety chicken defrosting"
"1442","chicken brining"
