"id","tags"
"1","remodeling basement carpentry"
"2","caulking bathroom"
"3","drywall"
"4","walls load-bearing structural"
"5","repair electrical"
"6","crack stucco"
"7","fan"
"10","radiator"
"11","drywall wallpaper"
"16","windows"
"17","vinyl-siding"
"18","concrete"
"19","repair radiator pipe"
"20","electrical fire-hazard knob-and-tube"
"21","drywall walls framing studs"
"23","paint floor garage"
"25","tools"
"26","paint bathroom"
"28","tile grout"
"30","plumbing sealing toilet"
"31","asphalt driveway"
"35","caulking technique"
"36","paint ceiling leak"
"39","lighting pole"
"42","draft baseboard sealing"
"48","repair roof pvc treehouse"
"53","tools"
"56","lawn"
"61","water-heater energy-efficiency"
"65","concrete technique"
"66","bathroom sound-proofing"
"67","basement floor basement-refinishing carpet"
"68","sink rust-removal"
"81","pocket-door"
"88","bathroom bathtub"
"92","insulation attic"
"95","electrical safety afci"
"99","floor"
"104","electrical"
"108","appliances maintenance"
"109","tile layout"
"115","drywall corner-bead"
"121","driveway"
"128","drywall walls patch spackle patching-drywall"
"132","repair floor stairs squeak wood"
"137","energy-efficiency attic"
"138","floor hardwood-refinishing hardwood"
"140","fence painting staining pressure-treated"
"143","repair vinyl-siding"
"150","attic ventilation"
"151","paint"
"157","wiring brick"
"159","air-conditioning installation"
"160","phone-wiring"
"161","bathroom fire-hazard exhaust-fan"
"164","air-conditioning"
"166","asbestos dangerous health-and-safety"
"171","drywall concrete"
"173","repair walls crack putty"
"175","windows replacement framing"
"178","insulation"
"181","paint brick"
"184","exterior wiring conduit coax"
"185","roof gutters water"
"189","tools"
"192","screens"
"193","painting wallpaper"
"197","air-conditioning"
"205","walls safety structural"
"206","safety pushfit dangerous gas"
"207","plumbing pushfit"
"208","safety"
"209","electrical"
"211","electrical knob-and-tube"
"212","electrical"
"213","doors"
"214","pocket-door"
"215","pocket-door"
"216","pocket-door"
"217","electrical bathroom building-regulations"
"218","building-regulations planning-permission"
"219","bathroom"
"220","safety asbestos"
"223","paint mold"
"224","basement leak sealing foundation"
"225","building-regulations deck engineering"
"227","electrical lighting"
"229","electrical lighting"
"231","cinderblock concrete-block"
"237","plumbing appliances"
"238","siding shed lumber"
"240","tile demolition"
"241","gravel rock"
"243","fence"
"244","stairs"
"247","sewer"
"249","floor tile"
"255","walls framing studs"
"261","plumbing copper-tubing pex"
"263","plumbing energy-efficiency water-heater"
"271","fire-hazard insulation fireplace"
"272","paint"
"273","energy-efficiency"
"277","floor hardwood"
"279","bathroom toilet ceramic-tile"
"281","bathroom shower temperature"
"287","electrical fuse-breaker"
"288","repair crack foundation"
"291","electrical aluminum-wiring"
"295","doors wood painting windows"
"300","lighting led"
